name,type1,type2,abilities,attack,defense,hp,sp_attack,sp_defense,speed,generation,pokedex_number,2016-11,2016-12,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06
Butterfree,bug,flying,"['Compoundeyes', 'Tinted Lens']",45,50,60,90,80,70,1,12,0.10671,0.19582,0.13065,0.11668,0.13001,0.12333,0.12514,0.10943,0.10121,0.12105,0.09949,0.10107,0.10523,0.09846,0.11838,0.11858,0.10846,0.09538,0.07674,0.10115,0.11317,0.1053,0.12292,0.14835,0.13431,0.10971,0.10989,0.09293,0.10812,0.08422,0.09281,0.08642,0.08227,0.0994,0.11184,0.16936,0.23439,0.20814,0.32346,0.28902,0.1963,0.17868,0.14197,0.14728,0.16922,0.17419,0.15368,0.18868,0.23518,0.15571,0.25498,0.19327,0.20941,0.18042,0.20369,0.19942,0.18236,0.19645,0.26936,0.15251,0.22554,0.24247,0.16099,0.16503,0.13224,0.11449,0.1396,0.13121,0.13273,0.18888,0.11163,0.14285,0.19798,0.09358,0.11156,0.08668,0.09639,0.13455,0.10901
Weedle,bug,poison,"['Shield Dust', 'Run Away']",35,30,40,20,20,50,1,13,0.00125,,0.00769,0.01025,0.01226,0.01727,0.00977,0.01004,0.00853,0.0064,0.00607,0.00785,0.01016,0.00798,0.01126,0.00762,0.00709,0.00534,0.00693,0.00537,0.00473,0.00376,0.00472,0.00582,0.00769,0.00585,0.00849,0.00687,0.00587,0.00646,0.00622,0.00607,0.00414,0.00461,0.00591,0.00733,0.00841,0.00566,0.00605,0.00562,0.00722,0.00381,0.00718,0.00544,0.00394,0.00283,0.00513,0.01002,0.00385,0.00274,0.00405,0.00578,0.00808,0.00306,0.00801,0.00635,0.01182,0.00149,0.00748,0.00408,0.00146,0.00421,0.00301,0.00152,0.01034,0.00486,0.00039,0.00106,0.00219,0.00191,0.00434,0.00941,0.00788,0.00295,0.00167,0.00166,0.0021,0.00438,
Kakuna,bug,poison,['Shed Skin'],25,50,45,25,25,35,1,14,0.00051,,0.00413,0.00377,0.00424,0.00477,0.00351,0.0026,0.00364,0.00323,0.00353,0.00421,0.00344,0.00338,0.00598,0.00443,0.00543,0.00396,0.00426,0.00415,0.00365,0.00324,0.00234,0.00491,0.00336,0.00588,0.00415,0.00472,0.00508,0.00229,0.0025,0.00269,0.00451,0.0043,0.00347,0.00285,0.00945,0.005,0.00819,0.0036,0.00187,0.00203,0.00229,0.00766,0.00146,0.00356,0.00141,0.0028,0.0034,0.00821,0.0052,0.00604,0.00426,0.0052,0.00487,0.00553,0.00768,0.00083,0.00107,0.00253,0.00334,0.00147,0.0015,0.00114,,0.00175,0.00137,0.00123,0.00472,0.00019,0.00264,0.00109,,0.00295,0.00167,0.00028,,0.00328,0.00432
Beedrill,bug,poison,"['Swarm', 'Sniper']",150,40,65,15,80,145,1,15,0.00125,,0.05238,0.04444,0.05364,0.03471,0.02796,0.02563,0.02285,0.03245,0.02204,0.02351,0.01866,0.02072,0.02652,0.03026,0.02037,0.02743,0.0232,0.02083,0.01903,0.02297,0.02391,0.0171,0.02119,0.01978,0.02057,0.02254,0.02325,0.01873,0.02092,0.0222,0.01882,0.0189,0.02167,0.02487,0.04173,0.03821,0.08629,0.04166,0.02438,0.03849,0.04881,0.06709,0.02535,0.02273,0.03425,0.08668,0.08096,0.02107,0.03643,0.03688,0.07813,0.04006,0.03012,0.03435,0.04448,0.02192,0.02031,0.0305,0.03007,0.02444,0.03005,0.02075,0.02327,0.04471,0.01486,0.01393,0.01903,0.01625,0.0115,0.035,0.02669,0.0244,0.04596,0.02825,0.01313,0.0186,0.01297
Pidgey,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,40,40,35,35,56,1,16,6e-05,,0.00516,0.00357,0.00296,0.00265,0.00425,0.00446,0.0037,0.00351,0.0034,0.00545,0.00375,0.00475,0.00233,0.0035,0.0026,0.00407,0.00496,0.00362,0.0037,0.0034,0.00444,0.00464,0.00512,0.00302,0.00304,0.00257,0.00305,0.00359,0.00266,0.00367,0.00173,0.0036,0.00324,0.00459,0.00571,0.00455,0.00642,0.0062,0.00459,0.00186,0.00177,0.00122,0.00338,0.0059,0.00872,0.00339,0.00622,0.00356,0.00737,0.00283,0.00558,0.0026,0.0047,0.00847,0.00635,0.00282,0.00125,0.00583,0.00209,0.00379,0.00343,0.0019,0.00378,0.00233,0.00098,0.00247,0.00219,0.00153,0.00377,0.00131,0.00712,0.00509,0.00033,0.00111,0.00131,0.00547,0.00124
Pidgeotto,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,55,63,50,50,71,1,17,0.00074,,0.00483,0.00616,0.00512,0.0042,0.00393,0.00556,0.00593,0.00423,0.00434,0.00488,0.00393,0.0061,0.00359,0.00479,0.00296,0.00311,0.00391,0.00634,0.00394,0.00316,0.00593,0.00846,0.00411,0.0031,0.00232,0.00312,0.00396,0.00294,0.00219,0.00376,0.00454,0.00647,0.00451,0.00547,0.00394,0.00755,0.01973,0.01249,0.00866,0.00867,0.00291,0.00689,0.00676,0.01032,0.00898,0.00545,0.00696,0.00506,0.00361,0.00527,0.00617,0.00749,0.01288,0.00993,0.00355,0.00365,0.00641,0.00291,0.00167,0.00442,0.00301,0.00209,0.00597,0.01205,0.00215,0.00335,0.00084,0.00363,0.00453,0.00634,0.00483,0.00268,0.00366,0.00138,0.00289,0.00219,0.00031
Pidgeot,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,80,83,135,80,121,1,18,0.00518,,0.12084,0.1357,0.09225,0.08646,0.09735,0.07678,0.08965,0.07547,0.07314,0.05904,0.05796,0.08551,0.06338,0.07547,0.06386,0.06102,0.06366,0.05774,0.05454,0.05511,0.05989,0.06521,0.06769,0.05477,0.04762,0.04694,0.04354,0.05627,0.04684,0.05721,0.04952,0.04571,0.0487,0.06144,0.11927,0.1274,0.16159,0.15759,0.13183,0.09165,0.07858,0.11396,0.09025,0.11695,0.11391,0.10952,0.10864,0.10412,0.1457,0.10345,0.09472,0.07951,0.09018,0.0713,0.06014,0.09266,0.0905,0.05323,0.06161,0.07647,0.06311,0.07519,0.08968,0.05443,0.07547,0.04356,0.06114,0.06041,0.0545,0.09669,0.06659,0.16812,0.13221,0.06923,0.05174,0.0856,0.13001
Rattata,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,35,30,25,35,72,1,19,0.00347,,0.0808,0.08608,0.11428,0.08686,0.08387,0.14181,0.11347,0.10747,0.10673,0.09631,0.09364,0.10654,0.12205,0.13514,0.10359,0.09565,0.09867,0.1055,0.09681,0.08327,0.08608,0.08477,0.09816,0.08337,0.07371,0.06763,0.07197,0.07963,0.06833,0.06781,0.06165,0.06935,0.06444,0.07963,0.22702,0.13195,0.1359,0.1368,0.09709,0.10332,0.07629,0.11496,0.129,0.12874,0.08223,0.09994,0.09887,0.11096,0.10335,0.11758,0.12321,0.09266,0.10289,0.11819,0.09975,0.11558,0.11509,0.07499,0.06035,0.08237,0.14167,0.08889,0.12468,0.17125,0.18692,0.28253,0.2188,0.27625,0.17254,0.2472,0.23661,0.22604,0.19182,0.25061,0.29022,0.27265,0.18684
Raticate,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,70,75,40,80,77,1,20,0.00216,,0.05032,0.05273,0.07816,0.09538,0.06877,0.05809,0.07751,0.06362,0.08591,0.06242,0.05224,0.06403,0.07638,0.08024,0.09517,0.08472,0.08467,0.076,0.07775,0.0638,0.06975,0.07484,0.0638,0.05118,0.06525,0.05832,0.06606,0.0665,0.07145,0.05694,0.0562,0.063,0.06935,0.08502,0.12602,0.11362,0.11151,0.11995,0.07883,0.05867,0.09232,0.09863,0.05723,0.08796,0.08312,0.08668,0.08806,0.10029,0.11824,0.11129,0.07901,0.10504,0.07643,0.08058,0.116,0.06809,0.10155,0.06217,0.06975,0.0771,0.06633,0.09327,0.07735,0.06259,0.10382,0.08412,0.08338,0.10419,0.06128,0.07941,0.0493,0.13353,0.12422,0.14926,0.10532,0.10747,0.12662
Spearow,normal,flying,"['Keen Eye', 'Sniper']",60,30,40,31,31,70,1,21,0.00057,0.00023,0.00061,0.00083,0.00117,0.00044,0.00045,0.00055,0.00135,0.001,0.00109,0.00074,0.00052,0.00034,0.001,0.00111,0.0005,0.00077,0.00192,0.00083,0.00072,0.00086,0.00084,0.00149,0.00092,0.00117,0.00084,0.001,0.00064,0.00089,0.00056,0.00199,0.00072,0.00186,0.00157,0.00133,0.00176,0.00289,0.00158,0.00067,0.00127,0.00122,0.00125,0.00056,0.00101,0.00086,0.00539,0.00221,0.00148,0.00164,0.00549,0.00167,0.00117,0.00061,0.00122,0.00309,,0.00083,0.00018,0.00272,0.00063,0.00147,0.00129,0.00095,0.00318,0.00194,,,0.0032,0.00057,,0.00109,0.00127,0.00027,0.00899,,0.00315,,
Fearow,normal,flying,"['Keen Eye', 'Sniper']",90,65,65,61,61,100,1,22,0.0153,0.0414,0.0355,0.03652,0.02305,0.02707,0.03653,0.0253,0.0264,0.03417,0.03539,0.03284,0.0308,0.02525,0.03197,0.03065,0.03195,0.03662,0.03339,0.02659,0.03155,0.02621,0.02994,0.02684,0.02757,0.02256,0.02708,0.02836,0.03274,0.02581,0.03106,0.02628,0.03598,0.0408,0.04536,0.03995,0.07765,0.13006,0.08294,0.04141,0.05215,0.03995,0.0409,0.04043,0.04191,0.05454,0.06978,0.06766,0.06246,0.04105,0.04799,0.03701,0.04714,0.03884,0.03447,0.05714,0.04404,0.03819,0.06378,0.03614,0.03404,0.08026,0.04851,0.03122,0.0338,0.01633,0.02092,0.02328,0.07411,0.05448,0.07335,0.10304,0.06277,0.03861,0.0373,0.03489,0.03835,0.03938,0.04107
Ekans,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,44,35,40,54,55,1,23,6e-05,,0.00127,0.00115,0.0026,0.00141,0.00344,0.00129,0.00218,0.00072,0.00267,0.00312,0.00113,0.0022,0.00153,0.00254,0.00055,0.00186,0.00181,0.00114,0.00115,0.00057,0.00218,0.00213,0.00193,0.00161,0.0022,0.00192,0.00229,0.0014,0.00092,0.00125,0.00084,0.00098,0.00127,0.00129,0.00228,0.00144,0.0014,0.00235,0.00382,0.00138,0.00094,0.00156,0.00146,0.00123,0.00141,0.00531,0.0003,0.00096,0.00029,0.00244,0.00206,0.01116,0.00609,0.00391,0.00399,0.00282,0.00018,0.00214,0.00104,0.00021,0.00236,0.00019,0.00418,0.00311,0.00078,0.00229,0.00017,0.00038,0.00094,0.0035,0.00203,,0.01032,0.00028,0.00184,0.00027,0.00463
Arbok,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",95,69,60,65,79,80,1,24,0.00301,,0.10931,0.10476,0.09287,0.09101,0.10004,0.07378,0.07957,0.09768,0.11587,0.09419,0.0926,0.086,0.08581,0.07739,0.1138,0.10473,0.09304,0.07367,0.08453,0.08042,0.08298,0.10038,0.09165,0.07643,0.08619,0.09892,0.11864,0.08558,0.0829,0.0825,0.09497,0.11159,0.11523,0.10727,0.12986,0.10163,0.21874,0.15876,0.11977,0.1034,0.10595,0.08497,0.12889,0.11904,0.14534,0.22214,0.29705,0.29978,0.13327,0.119,0.13305,0.18607,0.12866,0.17728,0.10758,0.16656,0.06342,0.09403,0.06453,0.08595,0.15648,0.14333,0.11295,0.11041,0.11281,0.10511,0.08371,0.12885,0.06638,0.08138,0.13876,0.1574,0.29972,0.26501,0.24898,0.14166,0.18529
Pikachu,electric,,"['Static', 'Lightningrod']",55,40,35,50,50,90,1,25,0.34884,0.34055,0.70007,0.72498,0.72108,0.59503,0.61739,0.57445,0.59961,0.63337,0.55598,0.4978,0.5577,0.54719,0.54242,0.5868,0.57831,0.52479,0.52091,0.45874,0.42687,0.42321,0.44043,0.59048,0.59205,0.51258,0.45755,0.41799,0.45419,0.49847,0.43819,0.43117,0.45441,0.53368,0.51441,0.48882,0.89656,0.84423,1.08478,0.88065,0.86836,0.80703,0.84285,1.03621,1.09534,1.17317,0.96144,1.03982,1.17709,0.96994,0.81771,0.78634,0.71826,0.92151,0.79005,0.88298,0.87409,0.7091,0.68944,0.80648,0.60458,0.63597,0.66222,0.63082,0.65939,0.49606,0.62351,0.57512,0.61294,0.73947,0.67752,1.11067,1.03665,0.87279,0.96078,1.02765,1.14642,1.15376,1.04722
Raichu,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",85,50,60,95,85,110,1,26,0.01894,,0.28582,0.26728,0.29127,0.28416,0.28584,0.27318,0.26146,0.2878,0.31028,0.27196,0.25195,0.25949,0.25987,0.23843,0.27101,0.28303,0.2906,0.28882,0.23736,0.22927,0.23498,0.2521,0.24556,0.21625,0.19525,0.19099,0.19764,0.25494,0.21376,0.22336,0.21103,0.2157,0.20079,0.23657,0.32678,0.33576,0.38731,0.36212,0.37986,0.24521,0.29205,0.34411,0.26961,0.25368,0.32929,0.37073,0.31851,0.25449,0.22737,0.38681,0.34555,0.28714,0.39363,0.29921,0.3121,0.34907,0.28575,0.30309,0.33142,0.28713,0.372,0.3314,0.27223,0.39342,0.36855,0.27389,0.29594,0.28198,0.25211,0.38174,0.36038,0.4872,0.41029,0.22818,0.21563,0.25952,0.25756
Sandshrew,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,90,50,10,35,40,1,27,,,0.00366,0.00173,0.00238,0.0023,0.00331,0.00143,0.00164,0.00401,0.00223,0.00195,0.00198,0.00167,0.00228,0.00293,0.00221,0.00133,0.00135,0.00163,0.00132,0.0029,0.00108,0.00379,0.00243,0.00161,0.00127,0.0025,0.00167,0.00167,0.00233,0.00202,0.00143,0.003,0.00439,0.00152,0.00675,0.00222,0.00884,0.01618,0.00501,0.00259,0.00094,0.04399,0.01172,0.00541,0.00706,0.05705,0.06986,0.01765,0.06158,0.0568,0.0326,0.00092,0.00192,0.00537,0.00488,0.001,0.00036,0.00505,0.00188,0.00042,0.00472,0.02436,0.00398,0.00156,0.0002,0.00247,0.00303,0.00153,0.00113,0.0035,0.00102,0.0555,0.01898,0.00388,0.00079,0.00027,
Sandslash,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,120,75,25,65,65,1,28,0.00296,,0.07873,0.08004,0.09005,0.0839,0.08163,0.09674,0.08034,0.09629,0.09142,0.09464,0.07403,0.07838,0.08003,0.08925,0.08784,0.08781,0.09649,0.10239,0.0956,0.13397,0.10025,0.09718,0.10032,0.07401,0.07399,0.08716,0.08659,0.08295,0.07699,0.07222,0.07144,0.08286,0.07112,0.0813,0.12394,0.1626,0.11226,0.15013,0.13395,0.11701,0.0994,0.07686,0.13272,0.10172,0.08787,0.10363,0.07504,0.09195,0.08196,0.07184,0.09648,0.09739,0.09645,0.12372,0.06443,0.11691,0.19383,0.2075,0.08312,0.0672,0.06032,0.11878,0.07795,0.06298,0.07332,0.05203,0.06047,0.13612,0.11917,0.11004,0.06557,0.05577,0.14353,0.05843,0.04334,0.05715,0.04818
Nidoran♀,poison,,"['Poison Point', 'Rivalry', 'Hustle']",47,52,55,40,40,41,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,poison,,"['Poison Point', 'Rivalry', 'Hustle']",62,67,70,55,55,56,1,30,,,0.00084,0.00213,0.00249,0.00097,0.00127,0.00281,0.00224,0.00145,0.00175,0.00114,0.00629,0.00225,0.00284,0.00324,0.0021,0.0009,0.00235,0.0026,0.00079,0.00306,0.0006,0.00235,0.00137,0.00166,0.00133,0.0033,0.00134,0.00151,0.00339,0.00547,0.00158,0.00261,0.00396,0.00273,0.00197,0.00211,0.00428,0.00369,0.0017,0.00089,0.00042,0.00211,0.00192,0.00086,0.00282,0.00251,0.00074,0.00164,0.00145,0.00026,0.00206,0.00138,0.00226,0.00016,0.00015,,0.00053,0.00253,0.00376,0.00021,0.00107,0.00076,0.00119,0.00078,0.00059,,0.00135,0.00134,0.00057,0.00044,0.00407,0.00027,0.00833,,0.00158,,0.00031
